population,latitude
5.767227871334465,24.47
5.891295991956472,9.07
6.214978087849094,5.55
1.6989700043360187,-25.07
6.482979287163977,9.02
6.53349383276408,36.77
2.7895807121644256,-19.07
6.415074059205174,31.93
5.932456006946278,52.37
4.35953193909363,42.5
6.735999957852964,39.87
6.207735323063021,-18.93
4.600024903892987,-13.83
5.8828300872424535,37.93
5.841359470454855,15.33
5.7166059265844025,-25.27
5.822198164991822,37.97
3.735997884091794,-21.2
6.827336958274101,33.33
6.343250998054363,40.38
6.110463780309886,12.65
4.449246919490012,4.88
6.919351036541114,13.75
5.8642428273187654,4.37
4.541928535787472,13.45
4.115377494279117,17.3
7.333286021554434,39.9
6.197111495053492,33.88
6.062427415572055,44.82
4.216192302363926,17.25
6.573816731179003,52.52
5.08504427734728,46.95
5.925951199584843,42.87
5.655752930112915,11.85
6.856213290111221,4.58
6.423005224520801,-15.78
5.627577830697023,48.13
6.261738547352538,-4.27
5.041392685158225,13.1
5.1728159401009215,50.85
6.288306024534443,44.42
6.237805040456301,47.47
6.4610604097759765,-34.6
6.993373440644852,30.05
5.613102575445959,-35.3
6.26456732336381,10.5
4.301029995663981,14.02
4.0341068297076434,18.35
5.900257858437778,47
6.146122141641703,9.52
5.899890508993071,55.67
6.013087609719781,14.68
6.544068044350276,33.5
6.9496845925971025,23.73
4.771359618595074,-8.57
5.676997052577136,11.58
6.161368002234975,25.28
4.424881636631067,54.13
6.069364280471364,53.33
5.7652929474081125,38.53
3.1740598077250253,-10.42
6.029464946638236,8.48
3.6524397475894204,-8.52
5.353446885528438,-24.65
4.428102382783436,19.3
5.1290418333196435,6.8
4.466660058040165,36.13
4.622669844705667,-3.43
6.38920366250614,14.6
3.041392685158225,13.47
2.931457870689005,32.28
6.905993452897131,21.03
6.172319146148724,-17.85
6.329499169024669,23.13
5.803177738947535,60.17
4.77296680025871,-9.43
6.00639115743451,33.72
7.0032584175147035,-6.2
2.8536982117761744,-15.92
5.571021334195744,4.85
6.497047610775205,34.53
6.220003426156936,0.3
6.0014243192075005,27.7
6.264973810564828,15.63
5.856374786999314,-1.93
1.3424226808222062,-54.27
5.84575704695805,-29.05
4.6022770843001926,13.15
7.103495844109766,-4.32
6.068883142393649,29.37
6.454417974995789,50.45
5.74540663447266,0.38
5.955393311408289,-13.98
6.94704140525522,-12.03
5.751784716418012,38.7
5.4473751243144495,46.05
5.91631600524594,6.12
6.949784157362124,51.5
3.3170181010481117,78.2
6.389835445350009,-8.83
6.12426092570324,-15.42
5.076327260150194,49.6
6.514032934855394,40.38
4.4048337166199385,7.07
5.002930265846753,3.75
5.015749439475023,4.17
5.148034739719123,26.22
6.25045611068605,14.58
6.032090276103237,-25.97
5.427570492949111,-29.3
6.950299267062077,19.43
6.230975120665531,53.9
6.040259278135241,2.03
4.556133575620083,43.72
6.00473826832318,6.3
6.136656210724169,-34.88
4.779596491257824,-11.68
7.097134676224917,55.75
5.901458321396112,23.6
5.875806452096242,12.1
6.496704005293723,-1.28
5.396108641587768,25.07
7.152288466719513,28.6
2.432969290874406,7.48
5.900265508248042,13.52
5.431363764158987,35.17
5.8568297509627785,18.1
4.950398934444449,-22.27
4.350248018334163,-21.13
6.012649973906503,51.17
4.189462239457662,64.17
4.47709230078906,12.52
5.810031459000149,59.95
5.970459852496775,45.42
6.002265873196846,12.35
4.7160033436347994,-14.27
3.99563519459755,6.92
5.910142358695986,8.98
4.418301291319746,-17.53
5.405084987573503,5.87
6.350508904411792,48.85
3.1264561134318045,18.02
6.303568612991655,11.55
5.168058252817422,-20.15
5.476245993770787,-9.5
4.57978359661681,-17.75
4.703110742852885,10.67
6.091746776047729,18.53
6.094004089650666,50.08
5.098519129449006,14.92
5.2971343257699415,42.67
6.497483228038707,39.02
6.252764464695094,34.03
5.060697840353612,64.13
5.8530992754812425,56.93
6.885171966648653,24.63
3.9731278535996988,18.42
6.458351346774628,41.9
4.171638708530819,15.3
4.795128907333235,15.17
5.5161319603582974,9.93
5.624649182541913,18.45
3.6525364185930256,43.93
5.717142705977219,13.68
6.1558365542509605,15.33
6.046041513117085,18.47
5.596743301813618,43.87
6.992946193413065,37.55
6.751178989106809,1.28
5.716837723299524,42
6.106190897263415,42.7
3.8750612633917,12.05
4.453012391121455,49.18
4.3556239010120255,17.12
4.222742476026601,49.45
3.325310371711061,-51.68
4.698848384853564,39.8
5.983244589706727,59.32
4.926393900269682,-18.13
4.749473495626456,0.33
6.426278924876485,25.03
5.643655957683783,59.43
4.477121254719663,1.43
6.343969564353736,41.27
5.866867192875178,14.1
6.939204949319666,35.68
3.0678145111618402,18.22
5.005433634125024,27.47
5.882885256656751,41.32
5.201842116395229,46.85
7.143928855533275,35.68
6.073368208197971,32.9
5.885151373439762,36.8
4.268882058732568,62
5.957991135212302,47.92
3.719993826367604,47.13
3.8091555317471806,35.88
2.9169800473203824,41.9
4.466837974667767,-4.62
6.242956890077478,48.2
5.458757169203524,17.97
5.745639163765618,54.68
6.2333322410379175,52.23
5.848650271452624,38.9
5.332640410387462,-41.28
2.0791812460476247,-12.18
4.697969976554339,12.12
5.402641331374548,-22.57
6.441784341402798,3.87
6.033619545988136,40.18
5.905364068766892,45.82
